Unnamed: 0.1,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local address,rating_category
3863,Mayura Sagar,Quick Bites,3.6,194,250.0,no,no,"Chinese, North Indian, South Indian",Brookefield,Brookefield,Good
3864,Mayura Vybhava,Quick Bites,3.1,12,250.0,no,no,"South Indian, North Indian, Chinese, Street Food",Whitefield,Whitefield,Good
3865,Mayuri,Casual Dining,2.5,79,700.0,no,no,"Andhra, North Indian, Chinese",New Bel Road,New Bel Road,Average
3866,Mayuri Multicuisine Restaurant,Casual Dining,3.6,12,500.0,no,no,North Indian,Marathahalli,Marathahalli,Good
3867,Mazedaar,Quick Bites,3.2,10,300.0,no,no,"North Indian, Chinese",Kalyan Nagar,Hbr Layout,Good
3868,Maziga,Casual Dining,4.7,292,1500.0,no,no,Modern Indian,Whitefield,Whitefield,Excellent
3869,Mbr Dum Biryani County,Quick Bites,3.5,24,150.0,no,no,"Biryani, North Indian",Electronic City,Electronic City,Good
3870,Mc Donald'S,Quick Bites,3.9,116,500.0,no,no,"Burger, Fast Food",Whitefield,Whitefield,Good
3871,Mcdonald'S,Quick Bites,2.7,92,500.0,yes,no,"Burger, Fast Food",Frazer Town,Commercial Street,Average
3872,Mcdonald'S Play Place,Quick Bites,3.7,123,500.0,yes,no,"Burger, Fast Food",Electronic City,Electronic City,Good
3873,Mcleans Italian Pizzeria,Delivery,3.4,30,500.0,yes,no,"American, Pizza",Brigade Road,Ejipura,Good
3874,Mdp Coffee House,Quick Bites,3.5,13,200.0,no,no,South Indian,Brigade Road,Commercial Street,Good
3875,Me And My Cake,Bakery,3.5,18,500.0,no,no,"Bakery, Desserts",Marathahalli,Marathahalli,Good
3876,Me N U,Quick Bites,2.8,40,500.0,no,no,"Finger Food, Wraps, Cafe, Continental, Healthy Food",Bannerghatta Road,Bannerghatta Road,Average
3877,Meal & Biryani,Quick Bites,3.6,19,450.0,yes,no,"Andhra, South Indian","Byresandra,Tavarekere,Madiwala",Bommanahalli,Good
3878,Meal In A Box,Delivery,3.6,15,300.0,no,no,Street Food,Koramangala 4Th Block,Koramangala 7Th Block,Good
3879,Meal Square,Delivery,3.2,8,600.0,yes,no,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Good
3880,Mealbox Inc.,Casual Dining,3.9,36,800.0,yes,no,North Indian,Marathahalli,Marathahalli,Good
3881,Mealer.In,Delivery,3.5,21,450.0,yes,no,"North Indian, Biryani",Marathahalli,Marathahalli,Good
3882,Mealsbaba,"Takeaway, Delivery",3.6,57,400.0,yes,no,North Indian,Koramangala 5Th Block,Hsr,Good
3883,Mealstree,Delivery,3.6,162,400.0,yes,no,North Indian,Brookefield,Marathahalli,Good
3884,Meat And Eat,Quick Bites,2.8,39,500.0,yes,no,"Fast Food, Burger",Bellandur,Sarjapur Road,Average
3885,Meat And Eat (Me),Quick Bites,3.6,97,500.0,no,no,"Fast Food, Burger",Old Airport Road,Old Airport Road,Good
3886,Meat Up Barbecue & More,Quick Bites,3.7,17,400.0,no,no,"Bbq, Fast Food",Kalyan Nagar,Kalyan Nagar,Good
3887,Meaza Ginger Multi Cuisine Restaurant,Casual Dining,3.6,91,550.0,yes,no,"North Indian, Chinese, South Indian, Kerala",Brigade Road,Indiranagar,Good
3888,Mecaf Family Restaurant,Casual Dining,3.9,214,400.0,yes,no,"North Indian, Chinese, Fast Food",Basavanagudi,Btm,Good
3889,Meena'S Kitchen,Delivery,3.5,10,400.0,yes,no,"Continental, North Indian, Mexican",Brookefield,Marathahalli,Good
3890,Meenu Oota Da Maane,Casual Dining,3.0,22,700.0,yes,no,"Seafood, Mangalorean, Chinese",Indiranagar,Brigade Road,Good
3891,Meeraa'S Beegara Oota,Casual Dining,3.8,258,550.0,yes,no,"South Indian, Biryani, Chinese",Hsr,Hsr,Good
3892,Mega Bite,Casual Dining,3.5,54,1100.0,no,yes,"North Indian, Chinese, South Indian, Continental",Whitefield,Whitefield,Good
3893,Meghana Biriyanis,Quick Bites,3.9,375,400.0,yes,no,"Andhra, Biryani, South Indian, Chinese",Kalyan Nagar,Nagawara,Good
3894,Meghana Biryani,Casual Dining,2.3,235,800.0,yes,no,North Indian,Bellandur,Bellandur,Average
3895,Meghana Foods,Casual Dining,4.2,1745,750.0,yes,yes,"Biryani, Chinese, North Indian, Seafood",Indiranagar,Indiranagar,Very Good
3896,Meghana Foods Grand,Casual Dining,4.2,3334,600.0,yes,no,"Biryani, Seafood, Andhra, North Indian",Bellandur,Marathahalli,Very Good
3897,Meghana Grand,Casual Dining,3.5,131,800.0,yes,no,"Biryani, Andhra",Brookefield,Whitefield,Good
3898,Mehfil Family Restaurant,Quick Bites,3.0,81,750.0,yes,no,North Indian,Malleshwaram,Malleshwaram,Good
3899,Melange - Hotel Ekaa,Casual Dining,3.2,426,900.0,yes,yes,"North Indian, Chinese, Continental, Mangalorean",Electronic City,Electronic City,Good
3900,Melange - Radisson Blu,Fine Dining,4.5,785,2700.0,no,yes,"North Indian, Continental, Chinese, South Indian",Marathahalli,Marathahalli,Excellent
3901,Mel'S Korner,Quick Bites,3.7,95,500.0,no,no,Fast Food,Lavelle Road,Church Street,Good
